Unnamed: 0.1,Unnamed: 0,Subject_Namespace,Subject,Relation,Object_Namespace,Object,pmid,evidence,Source,Association Score
42.0,42,DO,dementia,INCREASES,GO,cytokine-mediated signaling pathway,10381209.0,"This cytokine circuit cascade [15–17] is a condition observed in the brains of HIV-induced demented individuals [15,16] and is manifest to various degrees with specific uniqueness in several other neurodegenerative conditions.",CBM,
43.0,43,GO,cytokine-mediated signaling pathway,INCREASES,DO,dementia,10381209.0,"This cytokine circuit cascade [15–17] is a condition observed in the brains of HIV-induced demented individuals [15,16] and is manifest to various degrees with specific uniqueness in several other neurodegenerative conditions.",CBM,
62.0,62,DO,Alzheimer's disease,POSITIVE_CORRELATION,GFAM,Histocompatibility complex,10381209.0,"They cite many studies that have shown that several markers of inflammation (major histocompatibility complex, acute phase reactants, complement proteins, cytokines, etc.) have been shown to be significantly increased in the Alzheimer's brain but importantly in most cases the complimentary anti-inflammatory component is also increasingly present [14].",CBM,
63.0,63,GFAM,Histocompatibility complex,POSITIVE_CORRELATION,DO,Alzheimer's disease,10381209.0,"They cite many studies that have shown that several markers of inflammation (major histocompatibility complex, acute phase reactants, complement proteins, cytokines, etc.) have been shown to be significantly increased in the Alzheimer's brain but importantly in most cases the complimentary anti-inflammatory component is also increasingly present [14].",CBM,
64.0,64,DO,Alzheimer's disease,POSITIVE_CORRELATION,MESH,Acute-Phase Proteins,10381209.0,"They cite many studies that have shown that several markers of inflammation (major histocompatibility complex, acute phase reactants, complement proteins, cytokines, etc.) have been shown to be significantly increased in the Alzheimer's brain but importantly in most cases the complimentary anti-inflammatory component is also increasingly present [14].",CBM,
65.0,65,MESH,Acute-Phase Proteins,POSITIVE_CORRELATION,DO,Alzheimer's disease,10381209.0,"They cite many studies that have shown that several markers of inflammation (major histocompatibility complex, acute phase reactants, complement proteins, cytokines, etc.) have been shown to be significantly increased in the Alzheimer's brain but importantly in most cases the complimentary anti-inflammatory component is also increasingly present [14].",CBM,
66.0,66,DO,Alzheimer's disease,POSITIVE_CORRELATION,MESH,Complement System Proteins,10381209.0,"They cite many studies that have shown that several markers of inflammation (major histocompatibility complex, acute phase reactants, complement proteins, cytokines, etc.) have been shown to be significantly increased in the Alzheimer's brain but importantly in most cases the complimentary anti-inflammatory component is also increasingly present [14].",CBM,
67.0,67,MESH,Complement System Proteins,POSITIVE_CORRELATION,DO,Alzheimer's disease,10381209.0,"They cite many studies that have shown that several markers of inflammation (major histocompatibility complex, acute phase reactants, complement proteins, cytokines, etc.) have been shown to be significantly increased in the Alzheimer's brain but importantly in most cases the complimentary anti-inflammatory component is also increasingly present [14].",CBM,
68.0,68,DO,Alzheimer's disease,POSITIVE_CORRELATION,MESH,Cytokines,10381209.0,"They cite many studies that have shown that several markers of inflammation (major histocompatibility complex, acute phase reactants, complement proteins, cytokines, etc.) have been shown to be significantly increased in the Alzheimer's brain but importantly in most cases the complimentary anti-inflammatory component is also increasingly present [14].",CBM,
69.0,69,MESH,Cytokines,POSITIVE_CORRELATION,DO,Alzheimer's disease,10381209.0,"They cite many studies that have shown that several markers of inflammation (major histocompatibility complex, acute phase reactants, complement proteins, cytokines, etc.) have been shown to be significantly increased in the Alzheimer's brain but importantly in most cases the complimentary anti-inflammatory component is also increasingly present [14].",CBM,
80.0,80,DO,brain infarction,POSITIVE_CORRELATION,DO,dementia,10381209.0,"In a prospective study, it has been observed that clinical dementia in neuropathologically diagnosed Alzheimer's disease was much more prevalent in individuals who had experienced brain infarction than those who had not [24].",CBM,
81.0,81,DO,dementia,POSITIVE_CORRELATION,DO,brain infarction,10381209.0,"In a prospective study, it has been observed that clinical dementia in neuropathologically diagnosed Alzheimer's disease was much more prevalent in individuals who had experienced brain infarction than those who had not [24].",CBM,
82.0,82,DO,brain infarction,POSITIVE_CORRELATION,DO,dementia,10381209.0,"Therefore, in this very careful Nun study, Snowden et al. [24] clearly demonstrated that even though neuropathologically the senile plaques characteristic of Alzheimer's disease were present, there was a much more significant tendency toward clinical manifestations of dementia if the brain had experienced infarction.",CBM,
83.0,83,DO,dementia,POSITIVE_CORRELATION,DO,brain infarction,10381209.0,"Therefore, in this very careful Nun study, Snowden et al. [24] clearly demonstrated that even though neuropathologically the senile plaques characteristic of Alzheimer's disease were present, there was a much more significant tendency toward clinical manifestations of dementia if the brain had experienced infarction.",CBM,
84.0,84,DO,ischemia,POSITIVE_CORRELATION,MESH,Nerve Degeneration,10381209.0,"This study also noted a strong association with atherosclerosis of the circle of Willis and brain infarcts [24], which, therefore, lends support to the inclusion of not only transient ischemias but also microvascular defects as risk factors in neurodegenerative processes.",CBM,
85.0,85,MESH,Nerve Degeneration,POSITIVE_CORRELATION,DO,ischemia,10381209.0,"This study also noted a strong association with atherosclerosis of the circle of Willis and brain infarcts [24], which, therefore, lends support to the inclusion of not only transient ischemias but also microvascular defects as risk factors in neurodegenerative processes.",CBM,
86.0,86,DO,vascular disease,POSITIVE_CORRELATION,MESH,Nerve Degeneration,10381209.0,"This study also noted a strong association with atherosclerosis of the circle of Willis and brain infarcts [24], which, therefore, lends support to the inclusion of not only transient ischemias but also microvascular defects as risk factors in neurodegenerative processes.",CBM,
87.0,87,MESH,Nerve Degeneration,POSITIVE_CORRELATION,DO,vascular disease,10381209.0,"This study also noted a strong association with atherosclerosis of the circle of Willis and brain infarcts [24], which, therefore, lends support to the inclusion of not only transient ischemias but also microvascular defects as risk factors in neurodegenerative processes.",CBM,
90.0,90,MESH,Craniocerebral Trauma,INCREASES,MESH,Nerve Degeneration,10381209.0,Other studies have also linked head injuries to the development of neurodegenerative conditions [26–28].,CBM,
91.0,91,MESH,Nerve Degeneration,INCREASES,MESH,Craniocerebral Trauma,10381209.0,Other studies have also linked head injuries to the development of neurodegenerative conditions [26–28].,CBM,
92.0,92,MESH,Nerve Degeneration,INCREASES,MESH,Oxidative Stress,10381209.0,"Therefore, viewed from this perspective the observed increased oxidative damage found in several neurodegenerative conditions, i.e., see a review of Alzheimer's disease [29], would be an expected consequence.",CBM,
93.0,93,MESH,Oxidative Stress,INCREASES,MESH,Nerve Degeneration,10381209.0,"Therefore, viewed from this perspective the observed increased oxidative damage found in several neurodegenerative conditions, i.e., see a review of Alzheimer's disease [29], would be an expected consequence.",CBM,
96.0,96,DO,cerebrovascular disease,POSITIVE_CORRELATION,RGD,Ptgs2,10381209.0,"Experimental stroke in a rat model has been shown to cause the upregulation of cycloxygenase II (COX II) genes in neurons [32], and the induction of inducible nitric oxide synthase (iNOS) in the microvasculature [33].",CBM,
97.0,97,RGD,Ptgs2,POSITIVE_CORRELATION,DO,cerebrovascular disease,10381209.0,"Experimental stroke in a rat model has been shown to cause the upregulation of cycloxygenase II (COX II) genes in neurons [32], and the induction of inducible nitric oxide synthase (iNOS) in the microvasculature [33].",CBM,
98.0,98,DO,cerebrovascular disease,POSITIVE_CORRELATION,RGD,Nos2,10381209.0,"Experimental stroke in a rat model has been shown to cause the upregulation of cycloxygenase II (COX II) genes in neurons [32], and the induction of inducible nitric oxide synthase (iNOS) in the microvasculature [33].",CBM,
99.0,99,RGD,Nos2,POSITIVE_CORRELATION,DO,cerebrovascular disease,10381209.0,"Experimental stroke in a rat model has been shown to cause the upregulation of cycloxygenase II (COX II) genes in neurons [32], and the induction of inducible nitric oxide synthase (iNOS) in the microvasculature [33].",CBM,
110.0,110,HP,chronic inflammation,INCREASES,MESH,Oxidative Stress,10381209.0,It is proposed here that inflammatory processes contribute significantly to the enhanced oxidative damage observed in the chronic phase of neurodegenerative disease processes. ,CBM,
111.0,111,MESH,Oxidative Stress,INCREASES,HP,chronic inflammation,10381209.0,It is proposed here that inflammatory processes contribute significantly to the enhanced oxidative damage observed in the chronic phase of neurodegenerative disease processes. ,CBM,
114.0,114,MESH,Brain Injuries,POSITIVE_CORRELATION,CHEBI,reactive oxygen species,10381209.0,"Therefore, an acute injury will bring on much higher levels of ROS, cytokines, and toxic gene products than that normally noted in the chronic condition; but in the acute condition these levels will soon drop back to background levels.However, in the chronic condition, the levels are not as high but are continuously present and keep building slowly with time",CBM,
115.0,115,CHEBI,reactive oxygen species,POSITIVE_CORRELATION,MESH,Brain Injuries,10381209.0,"Therefore, an acute injury will bring on much higher levels of ROS, cytokines, and toxic gene products than that normally noted in the chronic condition; but in the acute condition these levels will soon drop back to background levels.However, in the chronic condition, the levels are not as high but are continuously present and keep building slowly with time",CBM,
116.0,116,MESH,Brain Injuries,POSITIVE_CORRELATION,MESH,Cytokines,10381209.0,"Therefore, an acute injury will bring on much higher levels of ROS, cytokines, and toxic gene products than that normally noted in the chronic condition; but in the acute condition these levels will soon drop back to background levels.However, in the chronic condition, the levels are not as high but are continuously present and keep building slowly with time",CBM,
117.0,117,MESH,Cytokines,POSITIVE_CORRELATION,MESH,Brain Injuries,10381209.0,"Therefore, an acute injury will bring on much higher levels of ROS, cytokines, and toxic gene products than that normally noted in the chronic condition; but in the acute condition these levels will soon drop back to background levels.However, in the chronic condition, the levels are not as high but are continuously present and keep building slowly with time",CBM,
118.0,118,MESH,"Brain Injury, Chronic",POSITIVE_CORRELATION,CHEBI,reactive oxygen species,10381209.0,"Therefore, an acute injury will bring on much higher levels of ROS, cytokines, and toxic gene products than that normally noted in the chronic condition; but in the acute condition these levels will soon drop back to background levels.However, in the chronic condition, the levels are not as high but are continuously present and keep building slowly with time",CBM,
119.0,119,CHEBI,reactive oxygen species,POSITIVE_CORRELATION,MESH,"Brain Injury, Chronic",10381209.0,"Therefore, an acute injury will bring on much higher levels of ROS, cytokines, and toxic gene products than that normally noted in the chronic condition; but in the acute condition these levels will soon drop back to background levels.However, in the chronic condition, the levels are not as high but are continuously present and keep building slowly with time",CBM,
120.0,120,MESH,"Brain Injury, Chronic",POSITIVE_CORRELATION,MESH,Cytokines,10381209.0,"Therefore, an acute injury will bring on much higher levels of ROS, cytokines, and toxic gene products than that normally noted in the chronic condition; but in the acute condition these levels will soon drop back to background levels.However, in the chronic condition, the levels are not as high but are continuously present and keep building slowly with time",CBM,
121.0,121,MESH,Cytokines,POSITIVE_CORRELATION,MESH,"Brain Injury, Chronic",10381209.0,"Therefore, an acute injury will bring on much higher levels of ROS, cytokines, and toxic gene products than that normally noted in the chronic condition; but in the acute condition these levels will soon drop back to background levels.However, in the chronic condition, the levels are not as high but are continuously present and keep building slowly with time",CBM,
122.0,122,GO,aging,POSITIVE_CORRELATION,MESH,Oxidative Stress,10381209.0,"The enhanced oxidative damage to brain noted with increasing age [62], and especially so in neurodegenerative diseases, is most likely due to several factors, including altered mitochondrial production of ROS [54,55, 65]; but it is likely that the increased oxidative damage is also due in part to the increased prevalence of inflammatory conditions where microglia and other brain cells are 'activated' to produce increased ROS. ",CBM,
123.0,123,MESH,Oxidative Stress,POSITIVE_CORRELATION,GO,aging,10381209.0,"The enhanced oxidative damage to brain noted with increasing age [62], and especially so in neurodegenerative diseases, is most likely due to several factors, including altered mitochondrial production of ROS [54,55, 65]; but it is likely that the increased oxidative damage is also due in part to the increased prevalence of inflammatory conditions where microglia and other brain cells are 'activated' to produce increased ROS. ",CBM,
124.0,124,GO,microglial cell activation,INCREASES,CHEBI,reactive oxygen species,10381209.0,"The enhanced oxidative damage to brain noted with increasing age [62], and especially so in neurodegenerative diseases, is most likely due to several factors, including altered mitochondrial production of ROS [54,55, 65]; but it is likely that the increased oxidative damage is also due in part to the increased prevalence of inflammatory conditions where microglia and other brain cells are 'activated' to produce increased ROS. ",CBM,
125.0,125,CHEBI,reactive oxygen species,INCREASES,GO,microglial cell activation,10381209.0,"The enhanced oxidative damage to brain noted with increasing age [62], and especially so in neurodegenerative diseases, is most likely due to several factors, including altered mitochondrial production of ROS [54,55, 65]; but it is likely that the increased oxidative damage is also due in part to the increased prevalence of inflammatory conditions where microglia and other brain cells are 'activated' to produce increased ROS. ",CBM,
142.0,142,MESH,Cytokines,INCREASES,GO,microglial cell activation,10381209.0,"It has been demonstrated that proinflammatory cytokines activate cultured primary brain cells (mostly microglia and astrocytes) to induce genes [83–85] including inducible nitric oxide synthase (iNOS), which mediates the synthesis of high levels of nitric oxide (NO), shown to be toxic to neurons [83,86].",CBM,
143.0,143,GO,microglial cell activation,INCREASES,MESH,Cytokines,10381209.0,"It has been demonstrated that proinflammatory cytokines activate cultured primary brain cells (mostly microglia and astrocytes) to induce genes [83–85] including inducible nitric oxide synthase (iNOS), which mediates the synthesis of high levels of nitric oxide (NO), shown to be toxic to neurons [83,86].",CBM,
144.0,144,MESH,Cytokines,INCREASES,GO,astrocyte activation,10381209.0,"It has been demonstrated that proinflammatory cytokines activate cultured primary brain cells (mostly microglia and astrocytes) to induce genes [83–85] including inducible nitric oxide synthase (iNOS), which mediates the synthesis of high levels of nitric oxide (NO), shown to be toxic to neurons [83,86].",CBM,
145.0,145,GO,astrocyte activation,INCREASES,MESH,Cytokines,10381209.0,"It has been demonstrated that proinflammatory cytokines activate cultured primary brain cells (mostly microglia and astrocytes) to induce genes [83–85] including inducible nitric oxide synthase (iNOS), which mediates the synthesis of high levels of nitric oxide (NO), shown to be toxic to neurons [83,86].",CBM,
146.0,146,GO,microglial cell activation,INCREASES,HGNC,NOS2,10381209.0,"It has been demonstrated that proinflammatory cytokines activate cultured primary brain cells (mostly microglia and astrocytes) to induce genes [83–85] including inducible nitric oxide synthase (iNOS), which mediates the synthesis of high levels of nitric oxide (NO), shown to be toxic to neurons [83,86].",CBM,
147.0,147,HGNC,NOS2,INCREASES,GO,microglial cell activation,10381209.0,"It has been demonstrated that proinflammatory cytokines activate cultured primary brain cells (mostly microglia and astrocytes) to induce genes [83–85] including inducible nitric oxide synthase (iNOS), which mediates the synthesis of high levels of nitric oxide (NO), shown to be toxic to neurons [83,86].",CBM,
148.0,148,GO,astrocyte activation,INCREASES,HGNC,NOS2,10381209.0,"It has been demonstrated that proinflammatory cytokines activate cultured primary brain cells (mostly microglia and astrocytes) to induce genes [83–85] including inducible nitric oxide synthase (iNOS), which mediates the synthesis of high levels of nitric oxide (NO), shown to be toxic to neurons [83,86].",CBM,
149.0,149,HGNC,NOS2,INCREASES,GO,astrocyte activation,10381209.0,"It has been demonstrated that proinflammatory cytokines activate cultured primary brain cells (mostly microglia and astrocytes) to induce genes [83–85] including inducible nitric oxide synthase (iNOS), which mediates the synthesis of high levels of nitric oxide (NO), shown to be toxic to neurons [83,86].",CBM,
150.0,150,HGNC,NOS2,INCREASES,CHEBI,nitric oxide,10381209.0,"It has been demonstrated that proinflammatory cytokines activate cultured primary brain cells (mostly microglia and astrocytes) to induce genes [83–85] including inducible nitric oxide synthase (iNOS), which mediates the synthesis of high levels of nitric oxide (NO), shown to be toxic to neurons [83,86].",CBM,
151.0,151,CHEBI,nitric oxide,INCREASES,HGNC,NOS2,10381209.0,"It has been demonstrated that proinflammatory cytokines activate cultured primary brain cells (mostly microglia and astrocytes) to induce genes [83–85] including inducible nitric oxide synthase (iNOS), which mediates the synthesis of high levels of nitric oxide (NO), shown to be toxic to neurons [83,86].",CBM,
162.0,162,HGNC,NOS2,INCREASES,CHEBI,nitric oxide,10381209.0,"iNOS, because it does not require Ca21 for activity, produces much higher levels of NO for longer periods (hours) than does the endothelial or neuronal forms of nitric oxide synthase, which does require Ca21 for activity",CBM,
163.0,163,CHEBI,nitric oxide,INCREASES,HGNC,NOS2,10381209.0,"iNOS, because it does not require Ca21 for activity, produces much higher levels of NO for longer periods (hours) than does the endothelial or neuronal forms of nitric oxide synthase, which does require Ca21 for activity",CBM,
166.0,166,GO,inflammatory response,INCREASES,CHEBI,nitrotyrosine,10381209.0,"Therefore, if inflammatory processes occur in the living brain, and more so under neurodegenerative conditions, it should be possible to measure higher levels of nitrotyrosine in these brains",CBM,
167.0,167,CHEBI,nitrotyrosine,INCREASES,GO,inflammatory response,10381209.0,"Therefore, if inflammatory processes occur in the living brain, and more so under neurodegenerative conditions, it should be possible to measure higher levels of nitrotyrosine in these brains",CBM,
172.0,172,CHEBI,nitric oxide,POSITIVE_CORRELATION,HP,Abnormality of mitochondrial metabolism,10381209.0,Nitric oxide (most likely peroxynitrite) has been implicated in mitochondrial dysfunction in neurodegenerative diseases [98].,CBM,
173.0,173,HP,Abnormality of mitochondrial metabolism,POSITIVE_CORRELATION,CHEBI,nitric oxide,10381209.0,Nitric oxide (most likely peroxynitrite) has been implicated in mitochondrial dysfunction in neurodegenerative diseases [98].,CBM,
182.0,182,DO,Alzheimer's disease,POSITIVE_CORRELATION,GO,cytokine production involved in inflammatory response,10381209.0,"Evoking the concept of neuroinflammatory processes can also explain the observed increased presence of proinflammatory cytokines in Alzheimer's brains [5–7,107,108].",CBM,
183.0,183,GO,cytokine production involved in inflammatory response,POSITIVE_CORRELATION,DO,Alzheimer's disease,10381209.0,"Evoking the concept of neuroinflammatory processes can also explain the observed increased presence of proinflammatory cytokines in Alzheimer's brains [5–7,107,108].",CBM,
184.0,184,GO,cytokine production involved in inflammatory response,INCREASES,ADO,neuroinflammation,10381209.0,"Evoking the concept of neuroinflammatory processes can also explain the observed increased presence of proinflammatory cytokines in Alzheimer's brains [5–7,107,108].",CBM,
185.0,185,ADO,neuroinflammation,INCREASES,GO,cytokine production involved in inflammatory response,10381209.0,"Evoking the concept of neuroinflammatory processes can also explain the observed increased presence of proinflammatory cytokines in Alzheimer's brains [5–7,107,108].",CBM,
186.0,186,MESH,Brain Injuries,POSITIVE_CORRELATION,GO,microglial cell activation,20234358.0,"As a consequence of brain injury or disease, resident microglia change phenotype from their downregulated state to an ‘activated’ phenotype, which is characterized by shortened and extensively branched processes and hypertrophy of the cell body",CBM,
187.0,187,GO,microglial cell activation,POSITIVE_CORRELATION,MESH,Brain Injuries,20234358.0,"As a consequence of brain injury or disease, resident microglia change phenotype from their downregulated state to an ‘activated’ phenotype, which is characterized by shortened and extensively branched processes and hypertrophy of the cell body",CBM,
198.0,198,MESH,"Brain Injuries, Traumatic",POSITIVE_CORRELATION,MESH,Nerve Degeneration,20234358.0,"Acute injury to the brain, such as a traumatic brain injury or stroke, will lead to the rapid degeneration of neurons and neuronal processes, and subsequently will lead to the generation of DAMPs, which in turn could activate microglia.",CBM,
199.0,199,MESH,Nerve Degeneration,POSITIVE_CORRELATION,MESH,"Brain Injuries, Traumatic",20234358.0,"Acute injury to the brain, such as a traumatic brain injury or stroke, will lead to the rapid degeneration of neurons and neuronal processes, and subsequently will lead to the generation of DAMPs, which in turn could activate microglia.",CBM,
202.0,202,MESH,"Brain Injuries, Traumatic",INCREASES,MESH,Alarmins,20234358.0,"Acute injury to the brain, such as a traumatic brain injury or stroke, will lead to the rapid degeneration of neurons and neuronal processes, and subsequently will lead to the generation of DAMPs, which in turn could activate microglia.",CBM,
203.0,203,MESH,Alarmins,INCREASES,MESH,"Brain Injuries, Traumatic",20234358.0,"Acute injury to the brain, such as a traumatic brain injury or stroke, will lead to the rapid degeneration of neurons and neuronal processes, and subsequently will lead to the generation of DAMPs, which in turn could activate microglia.",CBM,
204.0,204,MESH,"Brain Injuries, Traumatic",POSITIVE_CORRELATION,GO,microglial cell activation,20234358.0,"Acute injury to the brain, such as a traumatic brain injury or stroke, will lead to the rapid degeneration of neurons and neuronal processes, and subsequently will lead to the generation of DAMPs, which in turn could activate microglia.",CBM,
205.0,205,GO,microglial cell activation,POSITIVE_CORRELATION,MESH,"Brain Injuries, Traumatic",20234358.0,"Acute injury to the brain, such as a traumatic brain injury or stroke, will lead to the rapid degeneration of neurons and neuronal processes, and subsequently will lead to the generation of DAMPs, which in turn could activate microglia.",CBM,
206.0,206,MESH,Stroke,POSITIVE_CORRELATION,MESH,Nerve Degeneration,20234358.0,"Acute injury to the brain, such as a traumatic brain injury or stroke, will lead to the rapid degeneration of neurons and neuronal processes, and subsequently will lead to the generation of DAMPs, which in turn could activate microglia.",CBM,
207.0,207,MESH,Nerve Degeneration,POSITIVE_CORRELATION,MESH,Stroke,20234358.0,"Acute injury to the brain, such as a traumatic brain injury or stroke, will lead to the rapid degeneration of neurons and neuronal processes, and subsequently will lead to the generation of DAMPs, which in turn could activate microglia.",CBM,
210.0,210,MESH,Stroke,INCREASES,MESH,Alarmins,20234358.0,"Acute injury to the brain, such as a traumatic brain injury or stroke, will lead to the rapid degeneration of neurons and neuronal processes, and subsequently will lead to the generation of DAMPs, which in turn could activate microglia.",CBM,
211.0,211,MESH,Alarmins,INCREASES,MESH,Stroke,20234358.0,"Acute injury to the brain, such as a traumatic brain injury or stroke, will lead to the rapid degeneration of neurons and neuronal processes, and subsequently will lead to the generation of DAMPs, which in turn could activate microglia.",CBM,
212.0,212,MESH,Stroke,POSITIVE_CORRELATION,GO,microglial cell activation,20234358.0,"Acute injury to the brain, such as a traumatic brain injury or stroke, will lead to the rapid degeneration of neurons and neuronal processes, and subsequently will lead to the generation of DAMPs, which in turn could activate microglia.",CBM,
213.0,213,GO,microglial cell activation,POSITIVE_CORRELATION,MESH,Stroke,20234358.0,"Acute injury to the brain, such as a traumatic brain injury or stroke, will lead to the rapid degeneration of neurons and neuronal processes, and subsequently will lead to the generation of DAMPs, which in turn could activate microglia.",CBM,
214.0,214,MESH,Brain Injuries,INCREASES,GO,production of molecular mediator involved in inflammatory response,20234358.0,"The synthesis of proinflammatory cytokines and other inflammatory mediators is rapidly induced following acute injury, and these molecules contribute to the demise of neurons in the penumbra",CBM,
215.0,215,GO,production of molecular mediator involved in inflammatory response,INCREASES,MESH,Brain Injuries,20234358.0,"The synthesis of proinflammatory cytokines and other inflammatory mediators is rapidly induced following acute injury, and these molecules contribute to the demise of neurons in the penumbra",CBM,
216.0,216,MESH,Brain Injuries,INCREASES,GO,cytokine production involved in inflammatory response,20234358.0,"The synthesis of proinflammatory cytokines and other inflammatory mediators is rapidly induced following acute injury, and these molecules contribute to the demise of neurons in the penumbra",CBM,
217.0,217,GO,cytokine production involved in inflammatory response,INCREASES,MESH,Brain Injuries,20234358.0,"The synthesis of proinflammatory cytokines and other inflammatory mediators is rapidly induced following acute injury, and these molecules contribute to the demise of neurons in the penumbra",CBM,
218.0,218,HGNC,IL1B,POSITIVE_CORRELATION,MESH,Nerve Degeneration,20234358.0,"Well-studied molecules that promote neuronal degeneration include interleukin 1β and tumor necrosis factor(TNF).These cytokines in turn induce the synthesis of chemokines, leading to the recruitment of neutrophils and monocytes from the blood ",CBM,
219.0,219,MESH,Nerve Degeneration,POSITIVE_CORRELATION,HGNC,IL1B,20234358.0,"Well-studied molecules that promote neuronal degeneration include interleukin 1β and tumor necrosis factor(TNF).These cytokines in turn induce the synthesis of chemokines, leading to the recruitment of neutrophils and monocytes from the blood ",CBM,
220.0,220,HGNC,TNF,POSITIVE_CORRELATION,MESH,Nerve Degeneration,20234358.0,"Well-studied molecules that promote neuronal degeneration include interleukin 1β and tumor necrosis factor(TNF).These cytokines in turn induce the synthesis of chemokines, leading to the recruitment of neutrophils and monocytes from the blood ",CBM,
221.0,221,MESH,Nerve Degeneration,POSITIVE_CORRELATION,HGNC,TNF,20234358.0,"Well-studied molecules that promote neuronal degeneration include interleukin 1β and tumor necrosis factor(TNF).These cytokines in turn induce the synthesis of chemokines, leading to the recruitment of neutrophils and monocytes from the blood ",CBM,
